Name	Value	Time
serverLoad-average	0.012408658492305618	2020-01-30T21:22:05.067Z
serverLoad-value	0.0453483870967742	2020-01-30T21:22:05.067Z
txTimeInQueue-average	0.65896875	2020-01-30T21:22:05.067Z
txInjected-average	0.06060606060606061	2020-01-30T21:22:06.068Z
txInjected-total	2	2020-01-30T21:22:06.068Z
txApplied-average	0.06060606060606061	2020-01-30T21:22:06.068Z
txApplied-total	2	2020-01-30T21:22:06.068Z
txRejected-average	0	2020-01-30T21:22:06.068Z
txRejected-total	0	2020-01-30T21:22:06.068Z
txExpired-average	0	2020-01-30T21:22:06.068Z
txExpired-total	0	2020-01-30T21:22:06.068Z
txProcessed-average	0.06060606060606061	2020-01-30T21:22:06.068Z
txProcessed-total	2	2020-01-30T21:22:06.068Z
queueLength-average	0.42424242424242425	2020-01-30T21:22:06.068Z
queueLength-value	0	2020-01-30T21:22:06.068Z
serverLoad-average	0.013363888537993326	2020-01-30T21:22:06.068Z
serverLoad-value	0.04393125	2020-01-30T21:22:06.068Z
txTimeInQueue-average	0.639	2020-01-30T21:22:06.068Z
txInjected-average	0.058823529411764705	2020-01-30T21:22:07.068Z
txInjected-total	2	2020-01-30T21:22:07.068Z
txApplied-average	0.058823529411764705	2020-01-30T21:22:07.068Z
txApplied-total	2	2020-01-30T21:22:07.068Z
txRejected-average	0	2020-01-30T21:22:07.068Z
txRejected-total	0	2020-01-30T21:22:07.068Z
txExpired-average	0	2020-01-30T21:22:07.068Z
txExpired-total	0	2020-01-30T21:22:07.068Z
txProcessed-average	0.058823529411764705	2020-01-30T21:22:07.068Z
txProcessed-total	2	2020-01-30T21:22:07.068Z
